year,word,frequency
1920,robin,6.150654
1920,sparrowhawk,0.060256
1921,bedbug,0.282994
1921,condor,0.535203
1921,flea,2.389407
1921,fly,18.724524
1921,hawk,5.45618
1921,louse,4.617881
1921,mosquito,7.81921
1921,osprey,0.21271
1921,peregrine,0.340482
1921,robin,6.223648
1921,sparrowhawk,0.063062
1922,bedbug,0.286497
1922,condor,0.581186
1922,flea,2.490964
1922,fly,18.729964
1922,hawk,5.619044
1922,louse,4.342079
1922,mosquito,8.045886
1922,osprey,0.218283
1922,peregrine,0.3853
1922,robin,6.256149
1922,sparrowhawk,0.062555
1923,bedbug,0.285264
1923,condor,0.632064
1923,flea,2.618388
1923,fly,18.882589
1923,hawk,5.837112
1923,louse,4.124775
1923,mosquito,8.26843
1923,osprey,0.225595
1923,peregrine,0.444822
1923,robin,6.260434
1923,sparrowhawk,0.060092
1924,bedbug,0.279266
1924,condor,0.675174
1924,flea,2.751027
1924,fly,19.107691
1924,hawk,6.071312
1924,louse,3.96783
1924,mosquito,8.432205
1924,osprey,0.232472
1924,peregrine,0.50571
1924,robin,6.277572
1924,sparrowhawk,0.05787
1925,bedbug,0.272625
1925,condor,0.702572
1925,flea,2.883216
1925,fly,19.342633
1925,hawk,6.291579
1925,louse,3.863096
1925,mosquito,8.540185
1925,osprey,0.236072
1925,peregrine,0.546597
1925,robin,6.344218
1925,sparrowhawk,0.057241
1926,bedbug,0.269807
1926,condor,0.714354
1926,flea,3.004183
1926,fly,19.578491
1926,hawk,6.476246
1926,louse,3.799946
1926,mosquito,8.610533
1926,osprey,0.23517
1926,peregrine,0.557076
1926,robin,6.456456
1926,sparrowhawk,0.058477
1927,bedbug,0.271027
1927,condor,0.716252
1927,flea,3.094177
1927,fly,19.838991
1927,hawk,6.613841
1927,louse,3.757869
1927,mosquito,8.63295
1927,osprey,0.231335
1927,peregrine,0.54684
1927,robin,6.573611
1927,sparrowhawk,0.060572
1928,bedbug,0.274275
1928,condor,0.712915
1928,flea,3.142333
1928,fly,20.114698
1928,hawk,6.709008
1928,louse,3.712759
1928,mosquito,8.605208
1928,osprey,0.228032
1928,peregrine,0.533455
1928,robin,6.642933
1928,sparrowhawk,0.062508
1929,bedbug,0.277691
1929,condor,0.710343
1929,flea,3.161915
1929,fly,20.305583
1929,hawk,6.776989
1929,louse,3.644792
1929,mosquito,8.554743
1929,osprey,0.229175
1929,peregrine,0.52292
1929,robin,6.633072
1929,sparrowhawk,0.063949
1930,bedbug,0.280807
1930,condor,0.714728
1930,flea,3.179968
1930,fly,20.298771
1930,hawk,6.826933
1930,louse,3.545893
1930,mosquito,8.517376
1930,osprey,0.237141
1930,peregrine,0.508467
1930,robin,6.548676
1930,sparrowhawk,0.065156
1931,bedbug,0.282937
1931,condor,0.72886
1931,flea,3.209336
1931,fly,20.05974
1931,hawk,6.862571
1931,louse,3.426075
1931,mosquito,8.490072
1931,osprey,0.252461
1931,peregrine,0.493256
1931,robin,6.419935
1931,sparrowhawk,0.065842
1932,bedbug,0.282711
1932,condor,0.747165
1932,flea,3.241103
1932,fly,19.65556
1932,hawk,6.880219
1932,louse,3.307602
1932,mosquito,8.423255
1932,osprey,0.271962
1932,peregrine,0.493849
1932,robin,6.289149
1932,sparrowhawk,0.064751
1933,bedbug,0.280323
1933,condor,0.763584
1933,flea,3.261114
1933,fly,19.198941
1933,hawk,6.907947
1933,louse,3.213721
1933,mosquito,8.296625
1933,osprey,0.291988
1933,peregrine,0.521513
1933,robin,6.193953
1933,sparrowhawk,0.061341
1934,bedbug,0.278775
1934,condor,0.778131
1934,flea,3.269731
1934,fly,18.747624
1934,hawk,6.987564
1934,louse,3.155018
1934,mosquito,8.156095
1934,osprey,0.309161
1934,peregrine,0.561588
1934,robin,6.156355
1934,sparrowhawk,0.056722
1935,bedbug,0.282263
1935,condor,0.798752
1935,flea,3.281896
1935,fly,18.331318
1935,hawk,7.12565
1935,louse,3.12696
1935,mosquito,8.081551
1935,osprey,0.321315
1935,peregrine,0.583604
1935,robin,6.173124
1935,sparrowhawk,0.05242
1936,bedbug,0.293089
1936,condor,0.830462
1936,flea,3.315685
1936,fly,17.99411
1936,hawk,7.253711
1936,louse,3.131785
1936,mosquito,8.109983
1936,osprey,0.325132
1936,peregrine,0.569337
1936,robin,6.211936
1936,sparrowhawk,0.048753
1937,bedbug,0.309422
1937,condor,0.869991
1937,flea,3.375846
1937,fly,17.778936
1937,hawk,7.253398
1937,louse,3.177461
1937,mosquito,8.221115
1937,osprey,0.316307
1937,peregrine,0.526486
1937,robin,6.234614
1937,sparrowhawk,0.044956
1938,bedbug,0.32802
1938,condor,0.922012
1938,flea,3.446042
1938,fly,17.684403
1938,hawk,7.05833
1938,louse,3.273871
1938,mosquito,8.391183
1938,osprey,0.293757
1938,peregrine,0.475351
1938,robin,6.228255
1938,sparrowhawk,0.040866
1939,bedbug,0.346962
1939,condor,0.993225
1939,flea,3.507729
1939,fly,17.660645
1939,hawk,6.718794
1939,louse,3.429531
1939,mosquito,8.656848
1939,osprey,0.26253
1939,peregrine,0.429047
1939,robin,6.207208
1939,sparrowhawk,0.037167
1940,bedbug,0.367827
1940,condor,1.104739
1940,flea,3.562475
1940,fly,17.703769
1940,hawk,6.353187
1940,louse,3.653495
1940,mosquito,9.104128
1940,osprey,0.230843
1940,peregrine,0.390651
1940,robin,6.186466
1940,sparrowhawk,0.034694
1941,bedbug,0.393055
1941,condor,1.267911
1941,flea,3.625566
1941,fly,17.853699
1941,hawk,6.049787
1941,louse,3.93714
1941,mosquito,9.778611
1941,osprey,0.205284
1941,peregrine,0.357989
1941,robin,6.152575
1941,sparrowhawk,0.033169
1942,bedbug,0.42164
1942,condor,1.460558
1942,flea,3.694533
1942,fly,18.091365
1942,hawk,5.818155
1942,louse,4.224806
1942,mosquito,10.591201
1942,osprey,0.188681
1942,peregrine,0.328648
1942,robin,6.086256
1942,sparrowhawk,0.031896
1943,bedbug,0.447235
1943,condor,1.610259
1943,flea,3.741811
1943,fly,18.259785
1943,hawk,5.622594
1943,louse,4.420793
1943,mosquito,11.296491
1943,osprey,0.181396
1943,peregrine,0.304751
1943,robin,5.999214
1943,sparrowhawk,0.030592
1944,bedbug,0.460845
1944,condor,1.625329
1944,flea,3.742435
1944,fly,18.200269
1944,hawk,5.438479
1944,louse,4.45183
1944,mosquito,11.619305
1944,osprey,0.18149
1944,peregrine,0.289596
1944,robin,5.930064
1944,sparrowhawk,0.029822
1945,bedbug,0.455514
1945,condor,1.471775
1945,flea,3.691799
1945,fly,17.909545
1945,hawk,5.285382
1945,louse,4.317336
1945,mosquito,11.450847
1945,osprey,0.186324
1945,peregrine,0.286906
1945,robin,5.898473
1945,sparrowhawk,0.030199
1946,bedbug,0.429848
1946,condor,1.212472
1946,flea,3.596184
1946,fly,17.548449
1946,hawk,5.187352
1946,louse,4.078501
1946,mosquito,10.931699
1946,osprey,0.192028
1946,peregrine,0.298616
1946,robin,5.892471
1946,sparrowhawk,0.031803
1947,bedbug,0.389349
1947,condor,0.956853
1947,flea,3.456732
1947,fly,17.282373
1947,hawk,5.147168
1947,louse,3.807244
1947,mosquito,10.312908
1947,osprey,0.196446
1947,peregrine,0.324566
1947,robin,5.886842
1947,sparrowhawk,0.034298
1948,bedbug,0.343492
1948,condor,0.773433
1948,flea,3.288993
1948,fly,17.164067
1948,hawk,5.13428
1948,louse,3.554732
1948,mosquito,9.744428
1948,osprey,0.198781
1948,peregrine,0.361737
1948,robin,5.874303
1948,sparrowhawk,0.037309
1949,bedbug,0.301356
1949,condor,0.669138
1949,flea,3.130059
1949,fly,17.158092
1949,hawk,5.108344
1949,louse,3.349002
1949,mosquito,9.240332
1949,osprey,0.199189
1949,peregrine,0.399739
1949,robin,5.866837
1949,sparrowhawk,0.040266
1950,bedbug,0.267995
1950,condor,0.621309
1950,flea,3.01573
1950,fly,17.18956
1950,hawk,5.050605
1950,louse,3.202943
1950,mosquito,8.786121
1950,osprey,0.198141
1950,peregrine,0.423137
1950,robin,5.878037
1950,sparrowhawk,0.042966
1951,bedbug,0.243591
1951,condor,0.605073
1951,flea,2.946197
1951,fly,17.166229
1951,hawk,4.96991
1951,louse,3.104068
1951,mosquito,8.431009
1951,osprey,0.196448
1951,peregrine,0.421835
1951,robin,5.904577
1951,sparrowhawk,0.045306
1952,bedbug,0.226197
1952,condor,0.608304
1952,flea,2.890528
1952,fly,17.007761
1952,hawk,4.890171
1952,louse,3.021426
1952,mosquito,8.234232
1952,osprey,0.195205
1952,peregrine,0.402646
1952,robin,5.936565
1952,sparrowhawk,0.048491
1953,bedbug,0.213394
1953,condor,0.61041
1953,flea,2.816759
1953,fly,16.660741
1953,hawk,4.823228
1953,louse,2.928161
1953,mosquito,8.190261
1953,osprey,0.195509
1953,peregrine,0.38353
1953,robin,5.962705
1953,sparrowhawk,0.053951
1954,bedbug,0.203899
1954,condor,0.602398
1954,flea,2.722079
1954,fly,16.155168
1954,hawk,4.766604
1954,louse,2.822234
1954,mosquito,8.240179
1954,osprey,0.197375
1954,peregrine,0.377824
1954,robin,5.98358
1954,sparrowhawk,0.061592
1955,bedbug,0.197483
1955,condor,0.584986
1955,flea,2.625029
1955,fly,15.580016
1955,hawk,4.715268
1955,louse,2.7176
1955,mosquito,8.305678
1955,osprey,0.199624
1955,peregrine,0.384431
1955,robin,5.993325
1955,sparrowhawk,0.068392
1956,bedbug,0.194703
1956,condor,0.565465
1956,flea,2.541757
1956,fly,15.055325
1956,hawk,4.673271
1956,louse,2.62615
1956,mosquito,8.327306
1956,osprey,0.200602
1956,peregrine,0.391843
1956,robin,5.969522
1956,sparrowhawk,0.069834
1957,bedbug,0.195506
1957,condor,0.548091
