year,word,frequency
1956,rhesus,0.658696
1957,baboon,0.551701
1957,marmoset,0.084444
1957,primate,1.595627
1957,rhesus,0.697607
1958,baboon,0.565304
1958,marmoset,0.085912
1958,primate,1.727902
1958,rhesus,0.743889
1959,baboon,0.601762
1959,marmoset,0.089723
1959,primate,1.898159
1959,rhesus,0.793985
1960,baboon,0.659042
1960,marmoset,0.095175
1960,primate,2.09037
1960,rhesus,0.84866
1961,baboon,0.734944
1961,marmoset,0.102397
1961,primate,2.291746
1961,rhesus,0.91293
1962,baboon,0.824961
1962,marmoset,0.111231
1962,primate,2.493328
1962,rhesus,0.990716
1963,baboon,0.92218
1963,marmoset,0.121442
1963,primate,2.698895
1963,rhesus,1.079695
1964,baboon,1.018325
1964,marmoset,0.133248
1964,primate,2.927336
1964,rhesus,1.171119
1965,baboon,1.107647
1965,marmoset,0.147833
1965,primate,3.201626
1965,rhesus,1.257005
1966,baboon,1.189421
1966,marmoset,0.166588
1966,primate,3.525025
1966,rhesus,1.336997
1967,baboon,1.265385
1967,marmoset,0.189471
1967,primate,3.874218
1967,rhesus,1.417576
1968,baboon,1.338593
1968,marmoset,0.215865
1968,primate,4.216538
1968,rhesus,1.505865
1969,baboon,1.412188
1969,marmoset,0.245998
1969,primate,4.533291
1969,rhesus,1.607689
1970,baboon,1.485318
1970,marmoset,0.279731
1970,primate,4.818532
1970,rhesus,1.726568
1971,baboon,1.551673
1971,marmoset,0.314722
1971,primate,5.06296
1971,rhesus,1.862103
1972,baboon,1.603208
1972,marmoset,0.346827
1972,primate,5.249278
1972,rhesus,2.008924
1973,baboon,1.639454
1973,marmoset,0.373369
1973,primate,5.370279
1973,rhesus,2.159354
1974,baboon,1.663593
1974,marmoset,0.394462
1974,primate,5.435363
1974,rhesus,2.303613
1975,baboon,1.677441
1975,marmoset,0.40956
1975,primate,5.457136
1975,rhesus,2.422763
1976,baboon,1.675283
1976,marmoset,0.415412
1976,primate,5.43334
1976,rhesus,2.488462
1977,baboon,1.650346
1977,marmoset,0.408136
1977,primate,5.357911
1977,rhesus,2.479927
1978,baboon,1.601826
1978,marmoset,0.387401
1978,primate,5.23868
1978,rhesus,2.399826
1979,baboon,1.534984
1979,marmoset,0.357994
1979,primate,5.102389
1979,rhesus,2.272721
1980,baboon,1.46011
1980,marmoset,0.328129
1980,primate,4.975976
1980,rhesus,2.13174
1981,baboon,1.389605
1981,marmoset,0.304037
1981,primate,4.872536
1981,rhesus,2.00375
1982,baboon,1.334067
1982,marmoset,0.287687
1982,primate,4.793387
1982,rhesus,1.902395
1983,baboon,1.300769
1983,marmoset,0.27774
1983,primate,4.746526
1983,rhesus,1.828204
1984,baboon,1.28897
1984,marmoset,0.272004
1984,primate,4.74563
1984,rhesus,1.771536
1985,baboon,1.287869
1985,marmoset,0.268724
1985,primate,4.793353
1985,rhesus,1.71999
1986,baboon,1.280877
1986,marmoset,0.265655
1986,primate,4.863444
1986,rhesus,1.663965
1987,baboon,1.253844
1987,marmoset,0.260212
1987,primate,4.910813
1987,rhesus,1.598523
1988,baboon,1.205007
1988,marmoset,0.251157
1988,primate,4.89976
1988,rhesus,1.523997
1989,baboon,1.145924
1989,marmoset,0.239295
1989,primate,4.827993
1989,rhesus,1.445432
1990,baboon,1.091243
1990,marmoset,0.226796
1990,primate,4.720511
1990,rhesus,1.368911
1991,baboon,1.048724
1991,marmoset,0.215907
1991,primate,4.612202
1991,rhesus,1.300417
1992,baboon,1.018303
1992,marmoset,0.207836
1992,primate,4.52506
1992,rhesus,1.243065
1993,baboon,0.996934
1993,marmoset,0.202495
1993,primate,4.462268
1993,rhesus,1.194136
1994,baboon,0.984184
1994,marmoset,0.199899
