year,word,frequency
1908,lionfish,0.000158
1908,lizardfish,0.000208
1908,needlefish,0.002914
1908,parrotfish,0.001501
1908,pipefish,0.018049
1908,porcupinefish,7.7e-05
1908,rabbitfish,0.000168
1908,scorpionfish,0.000505
1908,sharksucker,0.000305
1908,soldierfish,9.6e-05
1908,squirrelfish,0.000198
1908,surgeonfish,0.000305
1908,triggerfish,0.001339
1908,trumpetfish,0.000206
1908,wrasse,0.019455
1909,angelfish,0.001965
1909,blenny,0.035689
1909,butterflyfish,0.000255
1909,damselfish,0.00013
1909,filefish,0.003821
1909,frogfish,0.001108
1909,goatfish,0.003691
1909,hawkfish,7.6e-05
1909,lionfish,0.000179
1909,lizardfish,0.000128
1909,needlefish,0.00271
1909,parrotfish,0.00159
1909,pipefish,0.015864
1909,porcupinefish,6.4e-05
1909,rabbitfish,0.000159
1909,scorpionfish,0.000381
1909,sharksucker,0.000196
1909,soldierfish,7.6e-05
1909,squirrelfish,0.00017
1909,surgeonfish,0.000329
1909,triggerfish,0.001334
1909,trumpetfish,0.000191
1909,wrasse,0.018742
1910,angelfish,0.00219
1910,blenny,0.032587
1910,butterflyfish,0.000253
1910,damselfish,9.3e-05
1910,filefish,0.003788
1910,frogfish,0.001046
1910,goatfish,0.002781
1910,hawkfish,0.000119
1910,lionfish,0.000178
1910,lizardfish,6.9e-05
1910,needlefish,0.002396
1910,parrotfish,0.001741
1910,pipefish,0.014701
1910,porcupinefish,4.4e-05
1910,rabbitfish,0.00017
1910,scorpionfish,0.000256
1910,sharksucker,0.000185
1910,soldierfish,5.6e-05
1910,squirrelfish,0.000174
1910,surgeonfish,0.000403
1910,triggerfish,0.001397
1910,trumpetfish,0.000201
1910,wrasse,0.018653
1911,angelfish,0.00251
1911,blenny,0.02997
1911,butterflyfish,0.000278
1911,damselfish,6.1e-05
1911,filefish,0.004131
1911,frogfish,0.000942
1911,goatfish,0.002203
1911,hawkfish,0.000179
1911,lionfish,0.000151
1911,lizardfish,3.3e-05
1911,needlefish,0.002072
1911,parrotfish,0.00202
1911,pipefish,0.013981
1911,porcupinefish,3e-05
1911,rabbitfish,0.000211
1911,scorpionfish,0.00018
1911,sharksucker,0.000223
1911,soldierfish,3.9e-05
1911,squirrelfish,0.000217
1911,surgeonfish,0.000537
1911,triggerfish,0.001553
1911,trumpetfish,0.000212
1911,wrasse,0.018327
1912,angelfish,0.002844
1912,blenny,0.027328
1912,butterflyfish,0.000333
1912,damselfish,3.9e-05
1912,filefish,0.004701
1912,frogfish,0.000792
1912,goatfish,0.001932
1912,hawkfish,0.000242
1912,lionfish,0.000107
1912,lizardfish,1.7e-05
1912,needlefish,0.001845
1912,parrotfish,0.00242
1912,pipefish,0.012909
1912,porcupinefish,3e-05
1912,rabbitfish,0.000266
1912,scorpionfish,0.000158
1912,sharksucker,0.000286
1912,soldierfish,2.8e-05
1912,squirrelfish,0.000311
1912,surgeonfish,0.000695
1912,triggerfish,0.001839
1912,trumpetfish,0.000198
1912,wrasse,0.017198
1913,angelfish,0.003194
1913,blenny,0.02479
1913,butterflyfish,0.000399
1913,damselfish,2.4e-05
1913,filefish,0.005307
1913,frogfish,0.000636
1913,goatfish,0.001837
1913,hawkfish,0.000271
1913,lionfish,6.2e-05
1913,lizardfish,1.8e-05
